firstName,sg_arg_rank,countryCode,100_150_fw_good_shot_rate,distance_rank,dg_index,std_deviation,over_200_fw_poor_shot_avoid_rate,country_y,course_experience_adjustment,over_150_rgh_good_shot_rate,sg_app_rank,over_200_fw_shot_count,50_100_fw_proximity_per_shot,driving_distance_adjustment,id,sg_arg,over_150_rgh_proximity_per_shot,50_100_fw_shot_count,100_150_fw_shot_count,home_page,baseline_pred,under_150_rgh_good_shot_rate,hidden,distance_pred,strokesGainedTrends,driving_dist,150_200_fw_good_shot_rate,under_150_rgh_poor_shot_avoid_rate,strokes_gained_category_adjustment,driving_acc,100_150_fw_low_data_indicator,country_adjustment,sg_putt_pred,150_200_fw_gir_rate,over_200_fw_gir_rate,50_100_fw_good_shot_rate,am,150_200_fw_low_data_indicator,timing_adjustment,dataGolfRanking,lastName,course_history_adjustment,sg_putt,over_200_fw_good_shot_rate,over_150_rgh_gir_rate,accuracy_pred,cf_short_comp,sample_size,100_150_fw_gir_rate,dg_change,over_150_rgh_sg_per_shot,cf_approach_comp,100_150_fw_sg_per_shot,sg_arg_pred,50_100_fw_low_data_indicator,perkcuppoints2020,owgr_rank,true_sg_adjustments,under_150_rgh_sg_per_shot,perkcuppoints2024,under_150_rgh_shot_count,other_fit_adjustment,150_200_fw_shot_count,dg_id_x,sg_total_rank,over_200_fw_sg_per_shot,over_150_rgh_poor_shot_avoid_rate,sg_app,owgr_change,50_100_fw_gir_rate,dg_rank,sg_total,nextBlockTotalPlayerFieldPoints,sg_putt_rank,over_150_rgh_shot_count,sg_ott_pred,perkcuppoints2023,dg_id,100_150_fw_proximity_per_shot,over_200_fw_proximity_per_shot,age_adjustment,over_200_fw_low_data_indicator,perkcuppoints2022,sg_total_pred,age,50_100_fw_sg_per_shot,perkcuppoints2021,over_150_rgh_low_data_indicator,dg_id_y,under_150_rgh_proximity_per_shot,sg_ott_rank,under_150_rgh_gir_rate,150_200_fw_sg_per_shot,dataGolfIndex,accuracy_rank,total_course_history_adjustment,total_fit_adjustment,final_pred,country_x,sg_app_pred,driving_accuracy_adjustment,playerSkillRatings,player_name,150_200_fw_proximity_per_shot,sg_ott,50_100_fw_poor_shot_avoid_rate,amateur_status,100_150_fw_poor_shot_avoid_rate,under_150_rgh_low_data_indicator,primary_tour,150_200_fw_poor_shot_avoid_rate,comments
Rory,65.0,NIR,0.08,2.0,1.959,,0.947,,,0.089,15.0,360.0,17.05,,10091.0,0.113,53.21,147.0,537.0,"['McIlroy, Rory', 0, 'N/A', 'Top 30', '1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '3', 4]",,0.063,False,20.613,"{'baseline_pred': nan, 'final_pred': nan}",20.613,0.052,0.951,,-0.003,0.0,,0.35,0.704,0.529,0.129,,0.0,,4.0,McIlroy,,0.35,0.078,0.418,-0.003,,,0.799,0.0,0.081,,0.021,0.113,0.0,305.0,3.0,,0.031,235.0,285.0,,716.0,,4.0,0.058,0.973,0.683,0.0,0.846,4.0,2.048,100.0,21.0,257.0,0.902,245.0,10091.0,21.011,43.122,,0.0,370.0,2.048,,0.025,375.0,0.0,10091.0,34.417,4.0,0.61,0.019,1.959,181.0,,,,Northern Ireland,0.683,,"{'sg_putt': 0.35, 'sg_arg': 0.113, 'sg_app': 0.683, 'sg_ott': 0.902, 'sg_total': 2.048}","McIlroy, Rory",30.346,0.902,0.946,Top 30,0.955,0.0,PGA TOUR,0.948,
Seamus,90.0,IRL,0.061,167.0,0.607,2.67052357460592,0.948,IRL,0.0165645347816663,0.049,97.0,400.0,17.291,-0.0172351499705279,10104.0,0.073,64.395,140.0,592.0,,0.750113911266388,0.043,False,1.385,"{'baseline_pred': 0.750113911266388, 'final_pred': 0.805881354519892}",1.385,0.06,0.952,-0.0265746301286113,0.025,0.0,0.0,0.172,0.685,0.469,0.093,0.0,0.0,0.0931655086783396,63.0,Power,0.0248449578979987,0.172,0.048,0.339,0.025,0.0111987066596701,150.0,0.826,-19.0,-0.011,0.0025017442778651,0.019,0.073,0.0,65.0,123.0,-0.0365544943855792,0.012,90.0,208.0,0.0137004509375353,890.0,10104.0,70.0,-0.0,0.954,0.152,-5.0,0.841,63.0,0.507,20.0,77.0,285.0,0.11,85.0,10104.0,21.563,49.886,-0.0222313926883212,0.0,280.0,0.507,37.0,0.011,340.0,0.0,10104.0,38.688,132.0,0.592,0.004,0.607,98.0,0.041409492679665,0.0065529590980107,0.805881354519892,Ireland,0.152,0.0100876581310033,"{'sg_putt': 0.172, 'sg_arg': 0.073, 'sg_app': 0.152, 'sg_ott': 0.11, 'sg_total': 0.507}","Power, Seamus",31.083,0.11,0.929,Top 51-60,0.941,0.0,PGA TOUR,0.946,
Alex,32.0,SWE,0.092,289.0,1.004,,0.975,,,0.056,28.0,362.0,17.798,,10419.0,0.205,56.385,145.0,436.0,,,0.084,False,-4.345,"{'baseline_pred': nan, 'final_pred': nan}",-4.345,0.051,0.942,,0.025,0.0,,0.214,0.693,0.452,0.131,,0.0,,25.0,Noren,,0.214,0.039,0.383,0.025,,,0.828,2.0,0.034,,0.01,0.205,0.0,165.0,54.0,,0.036,230.0,225.0,,803.0,,34.0,0.003,0.955,0.451,-1.0,0.858,25.0,0.948,,58.0,268.0,0.077,25.0,10419.0,23.491,46.626,,0.0,315.0,0.948,,0.052,265.0,0.0,10419.0,37.409,144.0,0.585,0.007,1.004,99.0,,,,Sweden,0.451,,"{'sg_putt': 0.214, 'sg_arg': 0.205, 'sg_app': 0.451, 'sg_ott': 0.077, 'sg_total': 0.948}","Noren, Alex",32.616,0.077,0.945,Top 50,0.943,0.0,PGA TOUR,0.949,
David,258.0,ENG,0.065,183.0,-0.837,2.7308703960216,0.981,ENG,-0.0171868098134784,0.056,218.0,158.0,17.0,-0.0121066086414243,10873.0,-0.124,61.109,77.0,260.0,,-0.751787464888243,0.086,False,0.678,"{'baseline_pred': -0.751787464888243, 'final_pred': -0.95080123913229}",0.678,0.054,0.914,-0.107694497612447,-0.06,0.0,0.0,-0.189,0.684,0.551,0.078,0.0,0.0,0.0159133368664145,394.0,Skinns,0.0148985766071171,-0.189,0.057,0.404,-0.06,-0.0103085278237842,150.0,0.771,-34.0,0.025,-0.001313019264668,-0.011,-0.124,0.0,120.0,198.0,-0.0140224797198657,0.004,185.0,151.0,-0.0116215470884523,355.0,10873.0,304.0,0.062,0.972,-0.23,-10.0,0.842,394.0,-1.069,,297.0,142.0,-0.526,440.0,10873.0,23.566,45.148,-0.0445063674024797,0.0,75.0,-1.069,42.0,0.012,465.0,0.0,10873.0,39.744,357.0,0.568,0.025,-0.837,366.0,-0.0022882332063613,-0.0464155331693081,-0.95080123913229,England,-0.23,-0.0226873774394315,"{'sg_putt': -0.189, 'sg_arg': -0.124, 'sg_app': -0.23, 'sg_ott': -0.526, 'sg_total': -1.069}","Skinns, David",30.101,-0.526,0.961,Top 125,0.908,0.0,PGA TOUR,0.961,
Estanislao,175.0,ARG,0.075,228.0,-0.806,,0.963,,,0.058,303.0,134.0,22.301,,10877.0,-0.033,62.791,62.0,200.0,,,0.065,False,-1.687,"{'baseline_pred': nan, 'final_pred': nan}",-1.687,0.044,0.925,,-0.003,0.0,,-0.146,0.607,0.428,0.048,,0.0,,385.0,Goya,,-0.146,0.045,0.326,-0.003,,,0.765,3.0,-0.04,,-0.015,-0.033,0.0,,471.0,,0.027,275.0,107.0,,274.0,,275.0,0.0,0.942,-0.488,-3.0,0.835,385.0,-0.848,,264.0,86.0,-0.18,75.0,10877.0,24.199,48.433,,0.0,330.0,-0.848,,-0.083,,0.0,10877.0,34.882,247.0,0.603,-0.06,-0.806,179.0,,,,Argentina,-0.488,,"{'sg_putt': -0.146, 'sg_arg': -0.033, 'sg_app': -0.488, 'sg_ott': -0.18, 'sg_total': -0.848}","Goya, Estanislao",36.587,-0.18,0.903,0,0.925,0.0,Korn Ferry Tour,0.909,
Nate,98.0,USA,0.063,352.0,-0.235,2.64860929700504,0.941,USA,0.0286680396257702,0.063,169.0,338.0,16.455,0.0958881614008674,10943.0,0.064,62.664,155.0,556.0,,-0.143274710212112,0.068,False,-8.94,"{'baseline_pred': -0.143274710212112, 'final_pred': -0.237327929020959}",-8.94,0.068,0.924,-0.145878598665389,0.02,0.0,0.0,-0.079,0.691,0.466,0.071,0.0,0.0,0.0286147560648612,197.0,Lashley,0.0085550538387396,-0.079,0.036,0.361,0.02,0.0018118624793164,150.0,0.795,-17.0,0.02,-0.0001892106602855,-0.003,0.064,0.0,215.0,180.0,-0.0785684834178059,0.051,150.0,237.0,0.0016226518190309,763.0,10943.0,222.0,0.007,0.95,-0.068,-6.0,0.894,197.0,-0.513,,218.0,221.0,-0.43,145.0,10943.0,22.745,47.165,-0.0408547322034373,0.0,150.0,-0.513,41.0,0.033,110.0,0.0,10943.0,35.536,334.0,0.665,0.028,-0.235,111.0,0.0372230934645098,0.1054107459484137,-0.237327929020959,United States,-0.068,0.0078999327285155,"{'sg_putt': -0.079, 'sg_arg': 0.064, 'sg_app': -0.068, 'sg_ott': -0.43, 'sg_total': -0.513}","Lashley, Nate",30.202,-0.43,0.974,Top 125,0.948,0.0,PGA TOUR,0.953,
Brendan,,USA,,,-0.065,,,,,,,,,,11019.0,,,,,,,,False,,"{'baseline_pred': nan, 'final_pred': nan}",,,,,,,,,,,,,,,170.0,Steele,,,,,,,,,-5.0,,,,,,205.0,9999.0,,,295.0,,,,,,,,,0.0,,170.0,,,,,,355.0,,,,,,100.0,,,,180.0,,,,,,,-0.065,,,,,United States,,,"{'sg_putt': nan, 'sg_arg': nan, 'sg_app': nan, 'sg_ott': nan, 'sg_total': nan}","Steele, Brendan",,,,0,,,LIV Tour,,
Webb,17.0,USA,0.058,260.0,-0.222,2.68772104502467,0.962,USA,0.112112988565914,0.068,247.0,235.0,18.199,0.0266146916407816,11049.0,0.254,58.247,110.0,381.0,,-0.0419994420730222,0.068,,-2.68,"{'baseline_pred': -0.0419994420730222, 'final_pred': -0.167248037410325}",-2.68,0.058,0.949,0.0155348802136426,-0.011,0.0,0.0,-0.083,0.598,0.459,0.127,0.0,0.0,-0.097283398690559,195.0,Simpson,0.0590536112813964,-0.083,0.043,0.383,-0.011,0.0058686266777997,150.0,0.8,-32.0,0.047,-0.0024824916345162,-0.004,0.254,0.0,450.0,338.0,-0.215207890548053,-0.007,75.0,177.0,0.0033861350432835,536.0,11049.0,233.0,-0.002,0.981,-0.295,-15.0,0.835,195.0,-0.568,,222.0,162.0,-0.444,85.0,11049.0,22.897,47.18,-0.0291694995665017,0.0,90.0,-0.568,39.0,0.012,350.0,0.0,11049.0,38.658,338.0,0.552,-0.038,-0.222,219.0,0.17116659984731,0.0297107134068577,-0.167248037410325,United States,-0.295,-0.0002901132772074,"{'sg_putt': -0.083, 'sg_arg': 0.254, 'sg_app': -0.295, 'sg_ott': -0.444, 'sg_total': -0.568}","Simpson, Webb",32.216,-0.444,0.918,0,0.937,0.0,PGA TOUR,0.931,
Seung-Yul,54.0,KOR,0.074,271.0,-0.237,2.67411640289691,0.946,KOR,0.0164666614271909,0.04,194.0,147.0,15.983,0.0399017565850771,11117.0,0.127,72.94,80.0,230.0,,-0.3474981172612,0.07,,-3.432,"{'baseline_pred': -0.3474981172612, 'final_pred': -0.304883503583489}",-3.432,0.054,0.947,-0.0923007439112903,-0.033,0.0,0.0,0.152,0.665,0.472,0.062,0.0,0.0,0.0634639802125259,198.0,Noh,0.0154064947318492,0.152,0.027,0.335,-0.033,0.0096174807938587,150.0,0.814,34.0,-0.027,-0.0020509271591642,0.012,0.127,0.0,25.0,326.0,0.0058560031857148,0.047,310.0,114.0,0.0075665536346945,278.0,11117.0,192.0,-0.038,0.968,-0.164,17.0,0.854,198.0,-0.354,,87.0,126.0,-0.468,50.0,11117.0,22.386,47.314,-0.003608053173205,0.0,95.0,-0.354,33.0,0.039,40.0,0.0,11117.0,37.103,343.0,0.611,-0.056,-0.237,308.0,0.0318731561590401,0.037330271204925,-0.304883503583489,Korea - Republic of,-0.164,-0.0101380390148466,"{'sg_putt': 0.152, 'sg_arg': 0.127, 'sg_app': -0.164, 'sg_ott': -0.468, 'sg_total': -0.354}","Noh, Seung-Yul",35.443,-0.468,0.963,0,0.957,0.0,PGA TOUR,0.896,
Billy,57.0,USA,0.075,226.0,0.691,,0.965,,,0.043,124.0,345.0,16.021,,11276.0,0.126,60.18,154.0,480.0,,,0.04,,-1.575,"{'baseline_pred': nan, 'final_pred': nan}",-1.575,0.042,0.973,,0.021,0.0,,0.219,0.673,0.469,0.078,,0.0,,52.0,Horschel,,0.219,0.078,0.345,0.021,,,0.843,-3.0,-0.022,,0.027,0.126,0.0,330.0,17.0,,-0.014,225.0,223.0,,734.0,,71.0,0.004,0.966,0.069,0.0,0.901,52.0,0.506,,55.0,235.0,0.091,10.0,11276.0,21.311,50.331,,0.0,150.0,0.506,,0.031,240.0,0.0,11276.0,41.596,139.0,0.576,-0.016,0.691,106.0,,,,United States,0.069,,"{'sg_putt': 0.219, 'sg_arg': 0.126, 'sg_app': 0.069, 'sg_ott': 0.091, 'sg_total': 0.506}","Horschel, Billy",32.955,0.091,0.948,Top 30,0.952,0.0,PGA TOUR,0.946,
